,id,service_id,branch_id,time_taken,request_time,rating
0,1,3,92,7,Day-Off-Peak,4
1,2,1,43,2,Day-Off-Peak,4
2,3,2,63,13,Day-Peak,4
3,4,3,89,7,Day-Peak,5
4,5,4,100,9,Day-Peak,4
5,6,2,69,12,Day-Peak,5
6,7,2,53,14,Night,3
7,8,3,34,7,Night,5
8,9,3,9,7,Night,4
9,10,1,33,2,Day-Off-Peak,5
10,11,3,10,7,Day-Off-Peak,5
11,12,4,78,10,Day-Peak,3
12,13,3,91,8,Night,4
13,14,2,78,13,Night,4
14,15,2,77,12,Day-Peak,4
15,16,3,80,6,Day-Peak,4
16,17,4,98,9,Day-Peak,5
17,18,1,44,5,Day-Off-Peak,4
18,19,2,57,14,Night,3
19,20,3,63,7,Day-Peak,4
20,21,1,1,2,Night,4
21,22,3,23,7,Night,5
22,23,1,5,2,Night,4
23,24,2,35,15,Night,3
24,25,4,97,9,Day-Peak,4
25,26,1,26,1,Night,5
26,27,2,34,14,Day-Peak,4
27,28,3,61,7,Night,5
28,29,3,19,7,Night,5
29,30,1,19,1,Night,5
30,31,2,28,14,Day-Peak,4
31,32,1,18,4,Night,4
32,33,3,62,7,Day-Peak,5
33,34,2,99,14,Day-Off-Peak,3
34,35,2,60,13,Day-Off-Peak,4
35,36,1,32,2,Day-Peak,5
36,37,1,21,2,Night,4
37,38,1,1,2,Day-Off-Peak,4
38,39,3,38,7,Night,4
39,40,1,20,2,Night,4
40,41,1,26,2,Night,5
41,42,3,83,8,Night,3
42,43,2,32,14,Night,4
43,44,2,30,13,Day-Peak,5
44,45,4,54,9,Day-Peak,5
45,46,3,67,7,Night,4
46,47,4,95,8,Day-Off-Peak,4
47,48,3,93,7,Night,4
48,49,1,19,2,Day-Peak,5
49,50,1,19,3,Day-Peak,4
50,51,1,21,1,Day-Peak,4
51,52,3,89,7,Night,5
52,53,3,99,7,Day-Peak,4
53,54,4,91,10,Night,4
54,55,2,69,12,Day-Peak,5
55,56,3,82,7,Day-Peak,5
56,57,1,3,2,Day-Off-Peak,5
57,58,4,59,9,Day-Peak,5
58,59,2,39,13,Day-Off-Peak,4
59,60,3,29,8,Day-Off-Peak,4
60,61,3,81,7,Night,4
61,62,1,71,2,Day-Off-Peak,5
62,63,1,70,4,Day-Off-Peak,4
63,64,4,88,8,Day-Peak,4
64,65,3,52,7,Night,4
65,66,1,23,2,Day-Off-Peak,5
66,67,1,94,2,Night,5
67,68,3,77,8,Night,3
68,69,1,45,2,Day-Off-Peak,4
69,70,1,15,5,Night,3
70,71,3,16,7,Day-Off-Peak,4
71,72,1,58,1,Night,5
72,73,3,79,7,Day-Off-Peak,5
73,74,3,72,7,Day-Peak,5
74,75,1,25,1,Day-Off-Peak,5
75,76,1,11,2,Day-Peak,4
76,77,3,95,7,Night,4
77,78,4,62,10,Night,4
78,79,1,19,2,Day-Off-Peak,5
79,80,4,96,9,Night,4
80,81,3,17,7,Day-Peak,4
81,82,3,37,6,Day-Peak,5
82,83,1,30,2,Day-Peak,5
83,84,1,13,2,Night,5
84,85,3,58,6,Day-Peak,5
85,86,1,19,3,Day-Peak,4
86,87,1,14,1,Night,4
87,88,2,22,14,Day-Peak,4
88,89,3,90,6,Day-Peak,5
89,90,1,9,2,Day-Peak,4
90,91,2,68,12,Night,5
91,92,1,34,1,Day-Off-Peak,5
92,93,3,78,9,Day-Off-Peak,3
93,94,4,82,9,Day-Off-Peak,5
94,95,3,60,7,Day-Peak,4
95,96,4,92,9,Day-Peak,4
96,97,1,39,2,Day-Peak,4
97,98,1,13,2,Night,5
98,99,1,9,2,Day-Off-Peak,4
99,100,3,29,10,Day-Peak,4
100,101,4,63,9,Night,4
101,102,1,34,2,Day-Peak,5
102,103,3,56,7,Night,4
103,104,2,65,13,Day-Peak,5
104,105,1,2,2,Night,5
105,106,1,7,3,Day-Off-Peak,3
106,107,3,27,6,Night,4
107,108,2,80,13,Day-Off-Peak,4
108,109,4,81,9,Night,4
109,110,3,88,7,Night,4
110,111,2,25,13,Day-Peak,5
111,112,1,8,2,Day-Peak,4
112,113,1,18,1,Night,5
113,114,3,91,6,Night,5
114,115,3,63,8,Day-Peak,3
115,116,2,1,12,Day-Peak,4
116,117,3,72,8,Day-Off-Peak,4
117,118,1,64,6,Night,3
118,119,2,31,14,Day-Off-Peak,3
119,120,1,44,2,Night,5
120,121,2,77,14,Day-Peak,3
121,122,4,100,9,Day-Off-Peak,4
122,123,1,33,2,Day-Off-Peak,5
123,124,1,12,2,Day-Peak,4
124,125,2,24,13,Night,4
125,126,4,92,8,Day-Off-Peak,4
126,127,2,72,13,Day-Peak,5
127,128,3,80,7,Day-Peak,4
128,129,1,23,1,Day-Off-Peak,5
129,130,1,11,2,Day-Peak,4
130,131,3,50,7,Day-Off-Peak,4
131,132,1,9,2,Day-Peak,4
132,133,1,37,8,Night,4
133,134,4,98,9,Day-Off-Peak,5
134,135,1,25,1,Night,5
135,136,3,83,7,Night,4
136,137,1,29,1,Day-Peak,5
137,138,1,45,3,Day-Off-Peak,3
138,139,1,26,1,Night,5
139,140,1,54,2,Day-Off-Peak,5
140,141,4,98,8,Day-Peak,5
141,142,3,70,8,Day-Off-Peak,4
142,143,3,84,7,Day-Off-Peak,5
143,144,2,50,13,Day-Off-Peak,4
144,145,1,27,3,Day-Off-Peak,3
